supporter;bear;bore;borne
battre;beat;beat;beaten
devenir;become;became;become
commencer;begin;began;begun
courber;bend;bent;bent
parier;bet;bet/betted (US);bet/betted (US)
faire une enchère;bid;bid;bid
ordonner;bid;bade/bid (US);bid/bidden
mordre;bite;bit;bitten
saigner;bleed;bled;bled
souffler;blow;blew;blown
casser;break;broke;broken
élever;breed;bred;bred
apporter;bring;brought;brought
construire;build;built;built
brûler;burn;burnt/burned;burnt/burned
éclater;burst;burst;burst
acheter;buy;bought;bought
lancer;cast;cast;cast
attraper;catch;caught;caught
choisir;choose;chose;chosen
s'accrocher;cling;clung;clung
venir;come;came;come
coûter;cost;cost;cost
ramper;creep;crept;crept
couper;cut;cut;cut
distribuer;deal;dealt;dealt
creuser;dig;dug;dug
plonger;dive;dove;dived
faire;do;did;done
dessiner;draw;drew;drawn
rêver;dream;dreamt/dreamed;dreamt/dreamed
boire;drink;drank;drunk
conduire;drive;drove;driven
manger;eat;ate;eaten
tomber;fall;fell;fallen
nourrir;feed;fed;fed
se sentir;feel;felt;felt
combattre;fight;fought;fought
trouver;find;found;found
fuir;flee;fled;fled
lancer;fling;flung;flung
voler (mouvement);fly;flew;flown
interdire;forbid;forbad/forbade (US);forbidden
oublier;forget;forgot;forgotten
pardonner;forgive;forgave;forgiven
geler;freeze;froze;frozen
obtenir;get;got;got/gotten (US)
donner;give;gave;given
aller;go;went;gone
moudre;grind;ground;ground
pendre;hang;hung/hanged;hung/hanged
entendre;hear;heard;heard
cacher;hide;hid;hid(den)
frapper;hit;hit;hit
tenir;hold;held;held
blesser;hurt;hurt;hurt
garder;keep;kept;kept
s'agenouiller;kneel;knelt/kneeled (US);knelt/kneeled (US)
connaître;know;knew;known
poser (à plat);lay;laid;laid
mener;lead;led;led
pencher;lean;leant/leaned;leant/leaned
bondir;leap;leapt;leapt
apprendre;learn;learnt/learned;learnt/learned
quitter;leave;left;left
prêter;lend;lent;lent
laisser;let;let;let
être allongé;lie;lay;lain
éclairer;light;lit/lighted;lit/lighted
perdre;lose;lost;lost
faire;make;made;made
signifier;mean;meant;meant
tondre;mow;mowed;mown/mowed (US)
payer;pay;paid;paid
mettre;put;put;put
arrêter;quit;quit/quitted;quit/quitted
lire;read;read;read
chevaucher;ride;rode;ridden
sonner;ring;rang;rung
s'élever;rise;rose;risen
courir;run;ran;run
scier;saw;sawed;sawn
dire;say;said;said
voir;see;saw;seen
chercher;seek;sought;sought
vendre;sell;sold;sold
envoyer;send;sent;sent
placer;set;set;set
coudre;sew;sewed;sewn
secouer;shake;shook;shaken
verser;shed;shed;shed
briller;shine;shone;shone
tirer (arme);shoot;shot;shot
monter;show;showed;shown
rétrécir;shrink;shrank /shrunk (US);shrunk
fermer;shut;shut;shut
chanter;sing;sang;sung
couler (bateau);sink;sank;sunk
être assis;sit;sat;sat
dormir;sleep;slept;slept
glisser;slide;slid;slid
sentir;smell;smelt/smelled;smelt/smelled
semer;sow;sowed;sown
parler;speak;spoke;spoken
aller vite;speed;sped/speeded;sped/speeded
épeler;spell;spelt/spelled;spelt/spelled
dépenser;spend;spent;spent
renverser;spill;spilt/spilled;spilt/spilled
faire tourner;spin;span/spun;spun
cracher;spit;spat/spit;spat/spit
fendre;split;split;split
gâcher;spoil;spoilt/spoiled;spoilt/spoiled
répandre;spread;spread;spread
bondir;spring;sprang/sprung;sprung
être debout;stand;stood;stood
voler (qqch);steal;stole;stolen
coller;stick;stuck;stuck
puer;stink;stank/stunk;stunk
marcher à grands pas;stride;strode;strid(den)
frapper;strike;struck;struck
enfiler;string;strung;strung
jurer;swear;swore;sworn
balayer;sweep;swept;swept
se gonfler;swell;swelled;swollen/swelled
nager;swim;swam;swum
se balancer;swing;swung;swung
prendre;take;took;taken
enseigner;teach;taught;taught
déchirer;tear;tore;torn
dire;tell;told;told
penser;think;thought;thought
lancer;throw;threw;thrown
fouler;tread;trod;trod(den)
comprendre;understand;understood;understood
entreprendre;undertake;undertook;undertaken
bouleverser;upset;upset;upset
réveiller;wake;woke/waked;woken/waked
porter (vêtement);wear;wore;worn
tisser;weave;wove/weaved;woven/weaved
sangloter;weep;wept;wept
enrouler;wind;wound;wound
gagner;win;won;won
retirer;withdraw;withdrew;withdrawn
tordre;wring;wrung;wrung
écrire;write;wrote;written